timestamp,elapsed_time,Plastic_1_in_water_pixel_area,Plastic_1_in_water_area_cm2,Plastic_2_in_acid_pixel_area,Plastic_2_in_acid_area_cm2
20250411_083958,72337.26,102544.0,4.134846979371378,100637.0,4.057951664290425
20250411_084008,72347.29,102652.5,4.139221988121395,0.0,0.0
20250411_084018,72357.32,102623.0,4.138032469613327,100541.5,4.054100850137185
20250411_084028,72367.35,102556.5,4.135351012637509,100731.0,4.061741994451731
20250411_084038,72377.38,102509.5,4.133455847556856,100555.5,4.054665367395251
20250411_084048,72387.42,102539.5,4.134665527395571,100671.0,4.059322634774301
20250411_084058,72397.45,102546.5,4.134947786024604,100563.0,4.054967787354929
20250411_084108,72407.48,102513.5,4.133617138202019,100614.5,4.05704440441139
20250411_084118,72417.51,102581.5,4.136359079169772,100632.5,4.057770212314618
20250411_084128,72427.54,102510.5,4.133496170218147,100593.0,4.056177467193644
20250411_084139,72437.58,102586.0,4.136540531145578,100663.0,4.059000053483977
20250411_084149,72447.61,102569.0,4.13585504590364,100624.0,4.057427469693649
20250411_084159,72457.65,102619.5,4.137891340298809,100768.0,4.063233932919479
20250411_084209,72467.67,102499.0,4.133032459613307,100662.5,4.058979892153332
20250411_084219,72477.71,102603.5,4.137246177718162,100625.5,4.057487953685585
20250411_084229,72487.74,102630.5,4.138334889573005,0.0,0.0
20250411_084239,72497.77,102625.0,4.138113114935908,100616.0,4.057104888403325
20250411_084249,72507.8,102596.0,4.136943757758483,100582.5,4.055754079250094
20250411_084259,72517.84,102556.5,4.135351012637509,0.0,0.0
20250411_084309,72527.87,102564.5,4.135673593927833,0.0,0.0
20250411_084319,72537.9,102589.5,4.136681660460095,100568.5,4.055189561992028
20250411_084329,72547.93,102496.5,4.13293165296008,0.0,0.0
20250411_084339,72557.97,102531.5,4.134342946105247,100619.5,4.0572460177178415
20250411_084349,72568.0,102621.5,4.13797198562139,100676.5,4.059544409411399
20250411_084359,72578.03,102470.5,4.131883263766527,100633.5,4.057810534975909
20250411_084409,72588.06,102542.0,4.1347663340487975,100620.5,4.057286340379132
20250411_084419,72598.09,102623.5,4.138052630943972,100698.5,4.06043150795979
20250411_084429,72608.13,102624.5,4.138092953605262,0.0,0.0
20250411_084439,72618.16,102553.0,4.135209883322992,100642.0,4.058153277596878
20250411_084449,72628.2,102510.0,4.133476008887501,100618.5,4.057205695056552
20250411_084459,72638.22,102631.5,4.138375212234296,100630.0,4.057669405661392
20250411_084509,72648.26,102561.5,4.135552625943962,0.0,0.0
20250411_084519,72658.29,102647.5,4.139020374814943,100593.5,4.0561976285242896
20250411_084529,72668.32,102567.0,4.13577440058106,100642.0,4.058153277596878
20250411_084539,72678.35,102534.5,4.134463914089118,0.0,0.0
20250411_084549,72688.39,102510.5,4.133496170218147,100575.5,4.055471820621061
20250411_084559,72698.42,102582.0,4.136379240500416,100609.5,4.056842791104937
20250411_084609,72708.46,102604.5,4.137286500379452,100654.0,4.058637149532363
20250411_084619,72718.48,102571.5,4.135955852556866,100616.5,4.057125049733971
20250411_084629,72728.52,102672.0,4.14000828001656,100689.5,4.060068604008176
20250411_084639,72738.55,102552.5,4.135189721992347,100526.0,4.053475848887182
20250411_084650,72748.58,102627.0,4.138193760258488,100625.0,4.05746779235494
20250411_084700,72758.61,102532.0,4.134363107435892,100713.0,4.0610161865485015
